Q96NS5	P21854 
Q9UKF5	Q7L1Q6
Q08495	Q15545
O60391	O75460
Q5FYA8	P54829
Q8N1W2	Q9UBU2
Q96M94	Q5T751
Q7Z478	Q00LT1
Q92858	Q9BVC4
Q9BVI0	Q8IWD5
Q8N4B1	Q5HYJ1
Q8N428	Q8IZ07
O95922	Q9H063
Q92901	C9JBD0
Q9Y2X0	O75828
Q14990	P08962
Q99250	A6NHS7
P0CG35	P59052
Q5VU69	Q9BRT9
Q9BRR6	Q8N349
Q9NSB4	P28358
Q5H8C1	Q04656
Q9H4Q3	Q8WUD4
Q32MK0	Q8N9V2
Q86X10	Q6P1Q9
Q6ZNE9	Q9UHC3
P21439	P28074
Q8IZS6	P55000
O43511	Q8NG94
A1Z1Q3	P21754
Q14197	Q9BPU9
Q9HD40	Q8N511
Q8TDF5	Q96AT9
O95926	Q7Z5L4
Q8IVT5	P31939
Q8N957	P49257
Q8NDG6	Q6UX53
P05408	Q9NZK7
Q8N4X5	Q9H2C0
P78347	Q9BUM1
Q9H9Y6	Q5TH74
Q9NV35	Q502X0
Q8NG31	Q86WI3
Q9NX09	Q14691
Q5VXJ0	A6NEH6
Q9UQ49	P59103
Q9BYJ1	O14645
Q9UPN9	O95473
Q9HCH5	P47874
Q9UPU5	Q969W0
Q8WZ84	P33032
Q8IZJ1	P30556
Q9NZI5	Q9BTZ2
P86452	P60842
A6NGG8	Q9Y227
Q9NYQ6	Q02742
Q9UFP1	Q7Z3Z2
Q86WS4	P19440
Q8NG98	Q2M3A8
A6NNM8	Q96P69
Q6P6B1	H0Y6H2
Q9BYZ2	Q96KN9
Q9UJU5	Q9NX62
Q8N587	A8MZ97
Q8NBN3	O95156
Q96EN8	P23435
Q9UBZ9	Q8N7U6
Q687X5	O95139
P47893	P07288
Q96N46	P01033
O94813	Q99426
Q9P270	P32241
Q7Z4R8	Q9Y3D7
Q9P2K2	Q8N9I5
Q9BRQ4	Q4LEZ3
Q9UM54	Q8NCK3
Q8TB72	Q9NYY1
Q9NW15	Q6UY11
Q5H9M0	O60218
Q6XZF7	A6ND91
Q58DX5	Q9UBT3
O75694	Q9UK00
Q86VL8	Q96T91
Q86UE4	Q96HJ3
Q9Y586	Q7Z4S9
Q9NQV8	O00321
A8MZG2	P49641
O15069	Q14CB8
Q8NEB7	Q5JVS0
Q8IYU8	Q9C0K3
Q8WUI4	O60218
Q9NSI6	Q5VZ46
Q9UGR2	Q15672
O95521	P25685
Q9UGJ0	Q86VN1
Q8N0Y3	Q9NRJ1
Q96C45	Q86SX3
P59827	Q13319
Q8N8V2	P23515
Q6DN90	Q309B1
Q9H3R2	P23415
Q9NR48	Q9H469
Q15233	Q08881
Q38SD2	P10909
O75881	Q9H8M9
Q5TIA1	O14520
P54296	P21730
Q8N815	P62081
Q9P2N2	Q0VAK6
Q6ZQR2	Q9NTX5
Q8N7C0	A6ND91
A6NED2	Q96PG8
Q15198	P35326
P17540	Q9GZS9
Q92738	Q9NPB8
Q4ZJI4	O15467
Q9NWU1	Q8TAX0
I3L3R5	Q9NYP8
Q96PX8	Q5T036
P23381	Q9Y5U5
Q14008	Q8NFZ6
P46937	Q53EV4
Q86UP6	O14668
Q86TZ1	Q96MW1
Q9H583	Q5SR53
Q86XN7	Q96RR4
Q5T4D3	P55317
P0DH78	Q9H114
Q96CS3	Q969V5
Q8WV37	Q8N4F4
Q5DID0	Q8IXH8
Q9BQA5	Q8NGC7
O95251	P61960
P05062	P30047
P78363	O43298
Q6QEF8	P30953
Q9Y694	P0C5Z0
A5PLL1	O75936
Q96NL3	Q9UHP6
Q7RTN6	Q9BTP7
Q8N1A0	P0C0P6
Q7Z2Y5	Q8TAF3
Q96PQ0	Q96AX1
P15144	Q9H4B0
Q6IS24	Q3SYB3
Q7Z403	Q8NE00
Q8NBN3	Q96Q35
O14525	Q8TBZ8
Q7L311	Q14695
Q9H6R7	Q9H900
O00268	Q96QD9
Q6W5P4	Q9NSE2
Q9NP90	Q15363
M0R0W5	O95415
Q15270	O95711
O14718	Q8TD07
Q49A92	A6NKK0
Q86TZ1	P05538
Q504Y2	Q9NUN7
Q8WWH5	O14681
P34925	Q9UHL3
P35637	Q7Z3T1
Q9P2V4	Q9UH64
Q9Y673	Q0P641
Q3MII6	Q11201
P43631	Q6I9Y2
Q8N436	Q96EY8
Q9UDV6	Q9Y3B8
Q86UG4	Q9NWY4
Q9Y584	Q9NV35
Q9HD40	Q8NCG5
A2RTY3	Q96Q11
Q8TC56	Q8N699
Q9NVW2	Q9BXG8
Q8NE35	Q9P2U7
Q9NQ66	Q8NDX1
Q9UIG0	Q9NQA5
Q6V9R5	Q8N8G2
A0PK00	O95297
Q9HAS3	P35790
Q8NGQ3	Q969H8
Q86V87	Q9BU89
O75417	Q9NS26
Q9Y2D5	O75083
Q96S16	Q9BV40
P08631	P47870
Q14689	O94973
Q58WW2	P04217
Q96LW4	Q8NG94
Q6GTS8	Q3YBR2
Q8NGA8	Q8IXM3
Q9H8M2	O95873
O43513	Q01469
Q7Z5L7	Q9BT09
P13726	P0CG29
O00339	Q96R54
Q9UQV4	Q3B726
Q6BDS2	Q02543
O75161	Q9H063
Q9BXQ6	Q9H4B0
Q8N127	Q9Y334
P29372	P04808
Q9NS84	P27338
P38570	Q4VC39
Q9Y5Z0	Q8N9M5
O43307	Q9UKF6
Q8IXI2	Q86X55
P41218	Q9H222
O95758	Q9Y691
P23396	P07305
O43246	Q8NAN2
O76090	Q8N6F7
Q9NQ79	Q6UWQ5
Q8IZH2	Q8TET4
O94919	O43427
Q9UKV8	Q5T1Q4
Q8IUL8	C9J3I9
Q8NEC7	Q99457
Q6ZMI0	P30968
Q9Y6I7	Q6ZTW0
Q9H2V7	Q9BXD5
Q9UBK8	Q8WWR8
Q8TAY7	O76093
Q5TA82	P08708
Q86TZ1	P0C5K7
Q9BYF1	Q92882
Q5TGI0	Q9Y274
Q96BT3	Q9XRX5
Q02742	Q8WYR4
Q8TAT5	P56856
Q96PZ2	Q8IVS2
Q9Y3Y4	Q06547
Q8IUH8	Q16650
Q5RIA9	Q8IUF1
Q5T9L3	P84098
Q9UEF7	O15260
Q9H7M6	Q8NEG7
Q8N6G6	Q6ZT52
O15439	Q9Y6A2
Q8WVM8	Q8WTX9
Q9UK33	Q6IQ22
Q86YP4	Q96R08
Q8WY21	Q8NFW5
P50453	Q8NI17
Q9P2S6	Q9H1E5
O15013	O95259
Q9NRP7	Q9Y2H2
Q99680	Q6P093
Q15434	Q86W34
Q9UM00	P61081
P19823	P46777
Q8NGG5	O60895
Q86XE0	P15259
Q86UE8	Q8IWT1
Q9NYG8	Q99445
P0C7X2	A6NDZ8
Q8TDB6	Q9HC16
Q01831	Q9BZE2
Q96S15	P55040
Q14865	Q9H6S1
O15321	P04554
Q8IYM2	Q8NEW7
Q96NW7	Q96AV8
Q86UD1	Q9BVW6
P80370	O94992
Q14674	A1L167
Q96NW4	O95954
Q9Y5X9	P01270
Q7Z412	Q92629
A6NLC5	Q9BXN6
O95772	P37235
P35558	F8WCM5
Q7Z3Y7	A6XGL0
Q9Y4A5	O75643
Q96RS6	Q96KX1
Q7Z3C6	Q6ZNG2
Q9P2T0	Q9UBM4
P55087	P46952
Q9UL58	P59051
P42892	Q96P88
Q6ZV89	Q8NG99
P20396	Q6GV28
P09172	P12273
O15225	P62256
Q9UI40	Q9Y4Z2
Q7Z3K3	Q9NQ66
Q8N0Z8	Q9H4I9
Q8IWF2	Q8N268
Q6DN14	E7ERA6
O15014	Q96MH7
P16671	Q9HAB8
Q7Z434	Q9H825
Q14444	Q9UQK1
Q6PJ61	Q9BRQ5
Q9NYQ6	Q9BY21
Q96P67	Q5T681
P26374	A2RTY3
Q92563	Q8NCG5
Q96QU6	Q13505
P34059	Q9NWM3
Q53RY4	O75690
Q8N8G2	Q9BT30
Q9UNA0	Q13133
Q6PCE3	Q9Y625
Q9BUM1	P26842
P60852	P60174
Q8NGZ5	Q6P047
Q5W041	Q9NR77
Q96B18	Q9UM63
Q9P241	Q9H819
Q14533	Q9NQH7
Q9BQW3	P51654
P56159	P18754
Q13319	P48645
Q12884	Q9NQ50
Q6PDA7	Q86W24
Q13315	Q7Z5J8
Q9NVN8	Q5DX21
Q13522	Q6F5E7
Q9C0B5	Q9HBH7
O95199	O75935
Q495B1	Q96BY9
Q8N4N3	Q9Y312
Q9P265	Q04741
Q9BZX2	P13804
Q6DN14	Q5T4B2
P17787	Q12982
Q6ISB3	Q16773
Q68DV7	Q86X24
P43657	Q9H6B9
Q9H579	Q9NYW7
Q9NYW8	A5PLL7
P21926	A6NHG4
Q12884	O14544
Q86VL8	Q69YU5
P05108	Q86XQ3
P18858	M0QZ73
Q7L0X2	O75264
Q8NBS3	Q96FZ7
Q9UQD0	O15305
P13682	O95497
P28566	Q5VU43
Q8IWR0	P49589
P43403	Q9NUP7
Q8IZD6	A6NGH7
Q9UBU9	Q9UBU6
Q9Y4F3	Q9P0V3
Q6ULP2	Q9HAD4
Q9BXP2	P52630
O75928	Q9BR11
Q9HAV4	Q9NW81
Q96QT6	Q92889
O00763	Q99519
Q8IWA4	P37235
Q9Y6M9	Q56VL3
Q12789	Q969P5
Q13568	Q96CQ1
P07384	A8MTT3
Q5T4D3	P31273
A6NE52	Q9NQ92
Q17RQ9	Q9BS18
O75382	Q9BRA2
Q9BVV6	Q68EM7
Q6PJQ5	Q96HH4
Q16678	Q5QJ74
P49005	Q9GZZ9
Q9HDC5	Q9Y6X2
Q99795	Q9GZP8
Q8TEX9	Q6DN72
Q99575	Q96AQ9
P46060	O60637
O14862	O94772
P56555	P31949
P00533	Q6XE24
Q8NEM8	Q8NDB2
Q8NCW5	O95562
Q6ZSG1	Q9HAW0
Q9H4L7	P16070
Q8IZF6	O43175
P49368	P00846
O00763	Q8N9V2
Q00973	Q8NDX9
Q06033	O95672
Q14999	Q8N4X5
Q96AQ2	Q9Y222
O43808	Q96T83
Q8N9N2	O94760
P43026	Q86SX6
Q9NRW4	Q6QAJ8
A2A288	Q9BX40
Q86SS6	Q96PD4
Q96M60	Q9H446
Q96M96	O43318
O15072	Q9P0Z9
Q8IWB7	O60682
Q9P2G4	A0PK00
Q13423	A1YPR0
Q93075	Q08477
P05067	Q0D2I5
Q9HBE5	Q99966
Q9UJF2	Q684P5
Q6ZVC0	P62277
Q15198	Q9H9Q2
D6RBQ6	Q8NH67
Q96LL4	P09132
Q92502	Q10713
Q9NVN8	Q9Y371
Q53EU6	Q6DKJ4
O60508	Q14CZ8
Q01094	P04216
Q7KZ85	Q08477
Q2M2I8	O60928
Q9NTJ4	P02671
P32456	Q00613
P54577	P54826
Q8TAX7	P43234
Q6MZW2	Q16517
O00217	Q13536
Q8NEZ2	A6NH57
Q9HAW0	Q96P15
Q9NZM3	Q9BY19
Q9BYE9	Q8TAA9
Q7Z6M2	Q7Z3T1
P49792	Q96IZ2
Q8N370	Q5VVX9
Q9ULS5	Q6P0A1
Q9Y2K9	O00232
Q9UJM3	P55042
Q9Y5Q8	P0C0S5
Q13936	Q9P015
Q9UBM4	Q9UJK0
P16870	P11182
P58512	Q96GT9
P47901	Q96S99
Q8NDX2	Q9BTE6
Q96EP0	O75911
Q92793	O95922
Q96BH3	Q9Y296
P35504	Q9H9H5
Q9NXD2	Q9NY87
O75752	Q53FT3
Q86TM3	Q86T26
P10599	P52657
Q86XK3	P21673
Q53RD9	Q9UHR5
Q13535	Q9H4A5
Q9HCM2	O15239
Q9UKP4	Q16775
O60674	P08397
O00300	Q8IXB3
Q9UQ10	Q9NUJ1
Q9Y6L7	P16452
Q99576	A6NM03
Q0D2J5	Q9HCN8
Q5T4F4	Q9BVC5
Q5DX21	Q5BIV9
Q6ZV73	O60563
Q96GX5	Q8NGP8
Q8IVG5	Q8WXS3
P11274	P53602
Q96LW4	Q5SZB4
Q8TBZ8	P00325
P05177	Q8NGB9
Q13349	O14904
Q05586	Q96A98
Q9NY15	Q5JVG2
Q05397	A4D250
Q9HC24	P55773
Q8IWB6	Q15382
A8MTY7	A6NJI9
Q86SU0	Q8NEA5
Q7Z408	Q93098
Q9H2B2	Q9GZX7
P60410	Q13607
Q96JE9	Q8WVP7
Q38SD2	Q9NZQ8
Q13433	P52738
Q9P2N4	Q04743
P52788	P78540
Q9BZE2	P29218
Q96SZ6	Q6L8G5
P29972	Q8WW62
Q8NCQ5	Q8NGL1
Q01538	Q6ZW33
P56373	P57057
P49757	O60216
Q2TAZ0	Q02338
O14896	P01275
O75554	Q8TBP6
Q32M45	Q9ULV4
Q9UJ99	P45378
Q9NX36	Q9NW13
Q6ZWK6	P07315
Q6UXP3	P18077
Q9H598	Q86WA6
O95996	Q6IPR3
Q7L2K0	Q8N8Q9
Q70EL4	Q5W064
Q9H5Z1	P59535
Q8NGQ4	Q8NGS7
Q92484	Q9H7B2
Q8NA82	Q86XM0
Q5JTD0	Q6P1N9
Q9Y2F9	P12270
Q14515	Q9BR46
P21359	Q2M1Z3
O95825	P0DI80
P49286	P30518
Q13286	P02511
P52948	Q92563
Q8IWD5	P55774
P52849	Q96R30
Q13478	Q8N9I5
Q5SRR4	A6NCE7
P25705	Q15743
Q9NVN8	Q8NCS4
Q8N7P1	Q99519
Q6IQ26	P56537
Q8NG77	P36542
O94808	Q1HG43
Q6NSI3	Q96LR9
P21810	Q96DD0
Q9NW13	Q6ZSA7
Q96DR5	Q8WUX2
P00973	Q96A56
O75191	P13945
Q9Y2Q0	Q15326
Q6PJ21	O75915
O60832	P25189
Q70EL4	A7E2S9
Q5T3U5	Q8NEL0
P0CG47	P04155
Q5T2L2	P50553
Q9BRK5	Q6TCH4
O43861	H0YL09
Q9BT67	Q96DA0
Q6ZWE6	P15169
Q8NHV1	Q96IU4
Q9BZ29	Q9UH90
A7KAX9	Q14008
O75923	O15229
P31150	Q5VZT2
A9YTQ3	P21730
Q8N1M1	O75610
O43306	Q96CX3
P58335	P60022
A6NK06	Q86WW8
Q8IZH2	Q6P9H4
Q6P9B9	Q52LC2
P78423	P09017
Q96JH7	O95415
A6NKL6	O95156
P11021	Q07627
Q6NZY4	Q9HCN8
Q6UWI2	Q8WX77
Q13017	Q16873
Q86W10	P81172
Q969N2	Q8NGH9
Q9UJS0	O76082
P55017	Q9NR00
Q7L3B6	P22749
Q86V59	P17275
Q8N2I2	Q9BW91
Q8IV76	Q7Z624
Q9BXU7	Q8NGB9
Q8NH64	Q9UF47
P29558	Q9UJZ1
Q9Y2D9	Q96AH0
Q8N392	Q9NQV5
O95475	P13500
Q6PFW1	Q15628
Q9H1U4	Q5VY80
Q6TCH4	O14657
Q5SWA1	Q8IY31
Q8TEQ0	Q96I45
Q8NGE8	P51124
O75074	P56555
P52333	Q5EBM0
Q8TD17	Q9BQE6
Q9BUU2	Q9P0G3
Q99447	Q6P1S2
Q99801	Q9NWA0
O75161	Q9P0M2
P21730	Q9BRL7
Q9H9J4	P22310
Q9C0D5	Q6UWY0
P62256	Q6ZSK4
P23229	P28062
Q8WXE9	A6NM10
Q2TAZ0	Q8TDR2
Q5TGI4	Q8NBN3
Q96HY7	Q11203
P21728	O15239
O75602	O95619
P48634	P14555
Q96EC8	Q8IUG5
Q17RN3	P22492
Q92622	O14730
Q8NGI6	O76036
P19623	Q6UXV1
Q9H6P5	Q5M9Q1
P78385	Q9H777
E9PJI5	Q8WVB6
P10912	Q01344
Q9H930	Q96H15
Q86YH2	Q0VDD7
Q9NP74	Q8NGJ6
Q8N6M8	O94772
Q4G0N4	Q96EB1
Q6U736	Q13151
Q9Y279	O95210
Q8NDZ6	Q96BT1
Q29983	Q04917
Q8NGT1	P59534
Q5HYC2	O95185
Q4LDE5	Q9H4Z2
Q9Y6Y1	O76095
Q9P2R3	P48643
Q9UMX5	Q6ZRH7
Q96B70	Q9NVS2
Q9Y2E8	Q9H340
Q14191	Q14574
Q9HCM2	Q8TEC5
Q9H4Q4	O60911
Q12791	Q9Y696
Q96CX3	P37840
Q8IYM9	P47898
Q7Z569	Q96HA4
Q9NRJ7	O43638
Q8NFU7	O43508
Q8N4C8	O94941
P51531	P51522
Q3LHN2	Q495N2
Q309B1	C9JBD0
Q5JU69	Q9GZZ0
P0CG41	O75110
Q6UXN9	A6NFZ4
Q96G46	Q9Y5Y4
P08473	Q9BYQ3
Q08050	Q8N9S5
Q8IWZ6	Q86W26
Q9Y6M1	Q92629
Q9H9A7	Q9C0K7
P0C7Q2	H3BU77
Q7Z7L1	Q401N2
P35606	Q0VFZ6
Q13822	Q6QEF8
P35523	Q719H9
Q5T1N1	Q6IMI4
Q96ME7	Q9BXJ3
Q15126	Q5TAB7
Q5VW36	Q00169
Q8NG95	Q96G79
P30260	P01591
Q9H4G4	Q5T5F5
Q15572	Q9HB15
Q96SQ9	Q96AK3
O43174	P04066
Q13003	P56975
P51168	P07199
Q8TAA9	Q969R8
Q6P2M8	Q99735
Q9H9Q4	P04216
B5ME19	Q8NFZ6
Q9BR77	Q9UHF5
Q71RC2	Q9NYA1
Q96PU4	Q9P2F8
P60842	Q68J44
Q9NZK7	Q8N9A8
Q13683	O43704
Q13702	Q8N9F7
O95661	Q8WX77
P30305	P55318
Q76FK4	O00570
O95050	Q9UKB3
Q9UBP4	Q9Y2R5
O94900	Q96EY9
Q8N4X5	Q96I59
Q8NFG4	Q02221
Q8IZF6	Q5T870
Q8N5S1	Q96BY9
Q8NI77	Q96R09
Q12967	Q9BW71
Q6P3S6	Q8IVW4
P61278	Q9BYW3
Q9H4B7	Q8NGA0
O95831	P42771
Q5SGD2	Q9BV29
O75487	Q96CX6
Q5TCS8	Q99571
Q8IY47	Q9Y5A7
Q9ULQ0	Q9HBJ0
Q9H1Q7	P0C7P0
Q4KMG0	Q9NNX1
Q63HK3	P10244
P20340	Q30KQ8
Q8N6G6	Q6UWN0
P22891	P43115
Q9BZ76	Q9HBE5
Q96CM4	F2Z3F1
Q96CN7	Q8N8L6
Q9UKV5	Q8NHS4
Q9Y2K9	Q8N109
Q7Z7L7	Q6PL24
Q6IF42	O43324
Q9H1P3	O00479
Q14126	P05111
O75717	Q7Z601
Q9NY33	Q96M34
Q5T7M9	P58546
Q13769	Q9BZE1
Q9NXL9	Q6IPR3
Q13563	Q9NRL3
Q9HCH0	Q96CB5
Q96P15	Q8WWZ3
Q9HCJ5	Q8NET8
Q86W33	Q8N8V8
Q99418	Q96R27
Q99704	P14921
Q9UBS9	A0FGR8
Q2VPK5	Q9BZG2
O75417	Q9H628
Q6P2I7	A6NC51
Q9Y3R4	Q6PI47
Q12906	P52198
Q9BTV5	P08620
P57740	P23786
Q8IU81	Q5J8M3
Q9BZ72	Q13541
P32926	Q6VB84
Q66K89	Q99643
P48643	Q96DA0
Q8NEN9	Q9UF56
P07099	Q8NG98
P55010	A6NJ08
A6H8M9	Q9H568
O95255	P50416
Q96N87	Q9BUK0
Q13316	O00338
P78363	Q4VNC0
Q9NQ03	Q96MF4
O75886	Q16836
Q9Y426	Q8NGG4
O14976	Q8TAI7
P56975	O43315
P06732	Q53S58
P46776	P51460
Q9H339	P02489
Q14626	Q8N7H1
Q86SQ4	Q8NEM8
Q9Y3Q0	Q9HAW8
Q96JB5	Q10586
Q16842	Q96HP4
P49221	Q86TG1
Q92542	Q8NCF0
Q86X53	Q9HBI1
O94887	Q8NEY3
Q8WXS5	Q13901
P06744	Q9HC57
Q6XR72	Q5SVS4
Q86UE4	Q9Y2T2
Q5SRE5	B2CW77
Q6DD87	Q96A47
Q6URK8	Q7Z713
Q9UIS9	Q66K64
Q63HK3	Q86Y91
P26045	Q5HYR2
Q86VV8	Q96QA5
Q14582	Q5BLP8
Q7Z3Q1	Q5QJ74
Q03701	Q9NS75
P16333	O60844
Q9HBD1	O14581
Q9ULJ3	P50990
Q6P3S1	P15586
Q15021	Q9BV87
P22736	O14753
Q9Y312	Q9H6J7
Q9BYG3	P10415
Q9P0U3	O60573
Q14156	Q7Z6M2
P22888	Q8N6Q3
Q96EU7	Q9Y5N6
O60287	Q96DX8
Q5VZP5	Q5HYI7
P04440	Q9H114
Q99814	Q9H4F8
Q9NXG6	P13500
Q5SWL8	O60930
Q96GE5	Q9BRY0
Q2NKQ1	Q9NV56
Q9Y6Y1	Q6UWP7
Q96GU1	P61236
Q9UIX4	Q9BZM2
P49848	Q13772
Q3KR37	P57773
Q15648	O00299
Q8N6G6	Q6NUS8
A6NNA5	Q96A35
P01568	Q569G3
Q13145	Q96HP8
P37088	Q96BH1
P51530	Q9H9H5
Q07020	Q9Y6Y9
Q2NKJ3	Q8N7Q3
Q29983	Q2M2W7
Q8IYW2	Q9UN72
Q969M2	P56556
Q8TD57	Q9P215
O75122	O94768
Q8N2Y8	Q8IY47
Q96JH8	Q3KP66
Q9UHM6	Q8NGD2
P30536	Q9Y5G1
P09884	C9JG80
P49662	P43356
Q8N801	A8MV24
Q6AI14	P58166
Q9BYS1	O43572
O94762	Q9NQ34
O95674	Q5TBB1
Q8NB42	P50990
Q8IUH8	O14668
Q8N0Y5	P14061
P01266	Q9UIV1
Q9P0I2	Q86WW8
Q8NDX1	O94952
Q6ZMQ8	Q8WTT2
Q9BZ29	Q9Y2C5
Q9C0B6	Q96GW9
P15036	Q9H1X1
Q08554	P51843
Q9NPD5	A8K4G0
O95155	P78552
Q96GW9	P33032
O60673	A6NCI4
Q9NYT0	P20160
Q8TE23	P59534
Q9UGN4	Q96N28
Q8TF42	Q8NGH8
Q96PE3	Q9BXW7
Q8IZ96	Q86SI9
O14654	H0YL09
Q2M3C7	Q9NY84
Q6IN85	Q9Y5L2
Q6PIU2	Q13607
Q14CS0	P36959
A7MCY6	Q5VT98
Q9NYZ3	Q8N6Y2
Q9Y6R9	Q9UGM6
Q8IWY9	P63098
Q8WYA6	Q96MN5
Q92900	Q6ZSI9
P52849	Q5BKU9
Q8NA29	Q6IAA8
Q13546	Q969V3
P07225	Q5VYV7
Q8IVL6	Q86W34
Q96F63	Q96DR5
P19961	Q96L15
Q8NGD0	Q9BRF8
Q86UV5	Q6ZTW0
Q9H1N7	Q8TE04
Q9H336	Q6ZMM2
Q92545	O15460
Q2TAK8	Q14213
Q8NBJ7	Q6IF42
Q9UHB4	Q86Y39
P67809	P28161
Q9HAS3	Q9UQ10
Q8IX01	P05141
Q7L5Y6	A6NH21
Q00597	P60002
O15321	Q9ULP9
Q8IXB1	Q8N3Z3
Q86UE8	Q13247
Q9BTC8	Q70HW3
P46926	Q8IXL9
Q5QJU3	Q2TAP0
Q6UXH9	Q15554
Q8N1W1	Q6UXZ4
Q96EX1	Q8IX29
Q5DX21	Q9H112
Q96Q05	Q8WU17
O95158	Q6UXQ4
P05141	Q3LI62
O15111	O95365
Q9H156	Q5VWK0
Q01538	P33681
Q6P1R4	Q3ZCQ3
P62273	Q9P2K8
Q92973	O75752
O75489	O95478
Q9H3P7	P82921
Q9NTI2	Q6ZVK8
O15466	Q9Y5L4
Q14956	Q9UM00
Q96JB3	Q075Z2
A6NKL6	A6NFK2
Q9H9A7	Q6ZUS6
Q9ULR3	P11712
Q92925	Q5VV17
Q99665	Q9Y5Y4
P30679	P56597
Q8IVG5	O00232
Q6ZSY5	A6NKU9
Q68D42	Q9Y584
Q8NC54	Q9NW81
A6NJJ6	Q5T4H9
Q05823	O14807
A6NDA9	Q8NDV2
Q8NGQ1	Q8WU49
Q14574	O95158
Q9H8H2	Q6GTS8
Q92830	Q96FT9
Q8NGJ7	Q8NAE3
Q9Y2L1	Q6ZT52
Q9BSJ2	A6NH21
Q17R60	P47224
Q9UJU5	Q14192
Q9NUA8	O14495
Q8N1V8	P47992
O75129	Q13093
Q49AJ0	Q9Y337
Q6XQN6	Q3LI60
Q8IZT8	Q9UHD1
Q8TEH3	Q6ZWI9
Q8N136	P0CG29
Q16635	P05451
Q8NH43	Q9HA72
A8MSI8	Q9Y5L5
Q8TC59	Q495W5
Q9UHC1	Q8NAP3
P09327	Q9NPF0
Q6UWN5	D3W0D1
P35269	P80075
Q8NFY4	O75715
Q8TBY9	Q8WTR8
Q9NWS1	Q96N11
P16157	P14209
P35367	O95047
Q86VW1	O96008
Q9P2D0	Q9Y399
Q32P28	Q15014
P07602	P21730
Q4U2R8	Q5BJD5
Q8TC84	Q6P161
Q9UNP4	Q15828
O00750	P18827
Q13387	Q8WTV0
P48147	Q96AQ9
Q7Z6A9	Q9UNI1
Q96RY7	M0R3G2
Q14721	Q8TBR7
P08319	C9JRZ8
Q9H307	Q8WUG5
P54098	P10632
Q9BXB4	P46663
Q8IYT2	Q6ZNB7
O43298	Q96S96
O94819	Q4G112
P25106	Q3C1V1
Q9Y227	Q9NRW4
Q14439	C9JR72
Q96RL7	Q6UWN0
Q6DN14	Q9UKF6
O75636	Q86WV5
P29728	Q9BSK2
Q8N5F7	Q495Z4
P08173	P24046
P0C7P3	Q5TG30
Q06418	Q5VT98
Q8IYL2	Q99424
Q9UGM3	Q86X29
Q6ZRH7	Q9H336
C9JPN9	Q15198
Q5T5J6	P00738
P28566	P02818
Q9UPU9	O14508
Q2VPK5	P01100
Q9H2P0	P56555
Q96K75	Q6J272
P19113	H3BUS1
Q6UQ28	O75365
Q96M27	Q8TDM5
Q2TB18	Q5MNV8
P51677	Q9BXY4
Q86YD3	Q5VTH2
P49916	Q5VY80
Q17RG1	Q9Y663
Q9H2X6	Q9Y4P3
Q9H6B1	Q8WXF5
Q96BT1	Q9UHP9
Q9Y4L1	Q8NCR9
P52948	Q93033
P48200	Q8N8M0
P26718	Q9Y291
Q9H3R0	Q9NPH2
Q8NGP3	Q8N6M8
Q8NE79	Q96NB2
Q53EU6	Q96CB9
Q8TC90	Q5JR98
Q6UWP7	Q13442
P51689	O00238
P19404	P07315
P43628	Q16612
Q86UK0	O75077
Q86VP6	Q3KRA6
O94768	Q9H930
Q9NY61	Q16698
Q96F46	P56182
Q7Z5L2	Q5VUY0
O75051	Q5TC82
B5MCY1	Q92837
Q9P2E5	Q12907
Q9HCB6	Q8TDB6
Q16798	O43464
O94919	Q9NR20
Q96HA7	P16152
Q96DU7	Q8IYA7
Q96AY4	P03973
Q9H2A9	A8K4G0
Q9UKR8	Q96HG1
Q5TGI0	O75368
P52948	Q9H0R5
Q969S9	O43663
P13591	P18507
Q9NZ63	B0FP48
Q9NRJ4	Q6ZWK6
P54132	Q9UNQ0
Q8NGT1	Q96KB5
Q13438	Q8IVN8
P30711	Q8WTQ1
O75912	Q8TEF2
Q8NG08	Q96M94
Q13769	A6NNL5
Q8IZJ3	P53677
Q14683	Q8N1A0
Q8TCC7	Q9H0A6
P20062	Q96C57
Q9Y274	P08962
Q9NVW2	O95926
O75643	Q15031
Q92952	P11413
A2CJ06	Q9Y5U4
A6NNM8	O43610
A6NGE4	Q9H446
A6NMT0	P12273
Q6NSJ0	O00567
Q70J99	Q86T29
Q5JPH6	Q9H336
Q8NFN8	Q9ULA0
Q0P6D2	Q17RF5
Q9HC35	Q5TGS1
A6NGH7	Q3LI59
Q96JE9	Q06481
Q8IYI8	P46094
Q6ZS11	P36402
O43278	A6NGE7
P60014	Q96HG1
Q05655	Q9NP92
Q9BUU2	Q9NUZ1
Q96NS1	Q8N104
Q5VUD6	Q92561
P00533	A8MXV6
O15067	Q6UXB3
P51168	Q96FL8
Q14669	P45844
P42680	Q9H228
A6NKG5	Q6IQ20
P27824	P53007
Q9Y248	O00483
Q16678	P55774
Q86U44	P84101
Q9NUU7	Q9BS86
A6PVC2	O00559
Q8N3Y3	Q30KQ9
P86790	Q8IV08
A4D1F6	A6NJG6
Q9HAW4	Q30KQ9
Q96B23	Q15771
P16615	Q8WW32
O95263	Q92831
A6NGE4	Q02833
P36268	Q9H4F8
P62945	P86434
P24928	Q9NU23
Q9H425	P41273
Q8NCP5	Q14994
Q92900	A8MV23
Q9H6S1	Q5T653
